priority_band,pattern_id,title,category,commercial_readiness,anchor_families,initial_profiles,portable_assets,blessed_path_features,deepened_by,depends_on,notes
P0,PAT-INPUT-ABSTRACT-001,Input abstraction and machine adapters,foundation,shipping,"Spectrum|NES|C64|Amiga","48K|NES/Famicom|C64 PAL|Amiga 500 OCS","source|build instructions|runnable artifact","input matrix view|virtual control mapping|record/playback","ZX80/ZX81|PET/VIC-20|Spectrum clones|Game Boy","",Maps host keys and gamepads to machine-native controls without baking host assumptions into lessons.
P0,PAT-RUNLOOP-FRAME-001,Main loop and frame or tick pipeline,foundation,shipping,"Spectrum|NES|C64|Amiga","48K|NES/Famicom|C64 PAL|Amiga 500 OCS","source|build instructions|runnable artifact","step instruction|step frame|timing overlays|trace checkpoints","Atari 2600|Game Boy|Mega Drive|SNES","PAT-INPUT-ABSTRACT-001",Defines the basic update cadence students need before they can reason about feel or timing tricks.
P0,PAT-LOGIC-MOVE-001,Player movement and collision,foundation,shipping,"Spectrum|NES|C64","48K|NES/Famicom|C64 PAL","source|build instructions|runnable artifact","collision watches|input trace|frame step","VIC-20|Game Boy|Master System","PAT-INPUT-ABSTRACT-001|PAT-RUNLOOP-FRAME-001",Portable gameplay foundation for platformers and action games.
P0,PAT-LOGIC-STATE-001,Game state machines and mode flow,foundation,shipping,"Spectrum|NES|C64|Amiga","48K|NES/Famicom|C64 PAL|Amiga 500 OCS","source|build instructions|runnable artifact","state trace|breakpoints on transitions","ZX80/ZX81|PET|Amiga ECS/AGA","PAT-RUNLOOP-FRAME-001",Covers title/gameplay/pause/game-over structure before polish-specific flows.
P0,PAT-STORAGE-BOOT-001,Startup and load flow basics,storage,shipping,"Spectrum|NES|C64|Amiga","48K|NES/Famicom|C64 PAL|Amiga 500 OCS","artifact packaging|boot instructions","boot trace|media activity|reset checkpoints","PET/VIC-20|Apple II|MSX|PC Engine","",Unifies the portable path for loading runnable examples without hiding machine differences.
P0,PAT-DEBUG-OBSERVE-001,Instrumentation and regression hooks,production,shipping,"Spectrum|NES|C64|Amiga","48K|NES/Famicom|C64 PAL|Amiga 500 OCS","validation notes|expected outputs","memory watch|register view|trace|screenshot capture|audio capture","Atari 2600|Spectrum clones|SNES","PAT-RUNLOOP-FRAME-001",The first observability pattern that every later pattern should lean on.
P1,PAT-RENDER-SWSPR-001,Software sprite redraw and dirty regions,rendering,shipping,Spectrum,"48K","source|build instructions|tap snapshot","screen diff|attribute view|frame step","ZX80/ZX81|VIC-20|Spectrum clones","PAT-RUNLOOP-FRAME-001|PAT-LOGIC-MOVE-001",Anchor pattern for machines without hardware sprites.
P1,PAT-RENDER-ATTR-001,Attribute-aware art and gameplay,rendering,advanced,Spectrum,"48K|128K","source|build instructions|tap snapshot","attribute map view|screen checkpoints","Spectrum clones|Spectrum Next","PAT-RENDER-SWSPR-001",Teaches commercial compromise and readability on the Spectrum line.
P1,PAT-AUDIO-BEEPER-001,Beeper-first sound effects,audio,shipping,Spectrum,"48K","source|build instructions|tap snapshot","audio event view|timed playback capture","ZX81|Spectrum 128 AY","PAT-RUNLOOP-FRAME-001",Introduces one-bit audio as a commercial constraint rather than a novelty.
P1,PAT-DATA-BANK-001,128K banked content on Spectrum,data,advanced,Spectrum,"128K","source|build instructions|tap snapshot","memory bank view|paging trace","Spectrum +2/+3|Pentagon|Scorpion|Spectrum Next","PAT-RENDER-ATTR-001",Moves the family from 48K baseline craft into larger commercial-scale content.
P1,PAT-STORAGE-TAPE-001,Tape-friendly loader and save flows,storage,shipping,Spectrum,"48K|128K","source|build instructions|tap|tzx","tape activity trace|load checkpoints","ZX80/ZX81|Timex|MSX cassette","PAT-STORAGE-BOOT-001",Makes loader UX and persistence part of commercial teaching rather than an afterthought.
P1,PAT-RUNLOOP-NMI-001,NMI-driven frame work on NES,foundation,shipping,NES,"NES/Famicom","source|build instructions|nes rom","NMI trace|PPU sync checkpoints","Master System|PC Engine|SNES","PAT-RUNLOOP-FRAME-001",Defines the baseline frame pipeline for NES-era commercial games.
P1,PAT-RENDER-METASPR-001,Metasprites and sprite-limit-aware animation,rendering,shipping,NES,"NES/Famicom","source|build instructions|nes rom","OAM view|sprite overlay|frame step","Game Boy|Master System|Mega Drive","PAT-RUNLOOP-NMI-001|PAT-LOGIC-MOVE-001",Core visual composition pattern for NES action games.
P1,PAT-RENDER-SCROLL-001,Scrolling camera on tile consoles,rendering,advanced,NES,"NES/Famicom","source|build instructions|nes rom","nametable view|scroll registers|frame step","Master System|PC Engine|Mega Drive|SNES","PAT-RUNLOOP-NMI-001|PAT-RENDER-METASPR-001",First console-side commercial polish pattern.
P1,PAT-AUDIO-APU-001,NES APU sound and music structure,audio,shipping,NES,"NES/Famicom","source|build instructions|nes rom","per-channel mute|APU channel view|audio export","Game Boy|Master System|SNES","PAT-RUNLOOP-NMI-001",Makes audio identity part of the commercial baseline.
P1,PAT-DATA-MAPPER-001,Mapper-aware content growth,data,advanced,NES,"NES/Famicom MMC1","source|build instructions|nes rom","bank trace|memory view","MMC3|VRC|SNES cart coprocessors","PAT-RUNLOOP-NMI-001",Keeps the initial backlog honest about cartridge-era content scale.
P1,PAT-RENDER-HWSPR-001,Hardware sprites on VIC-II,rendering,shipping,C64,"C64 PAL","source|build instructions|prg|d64","sprite view|raster line checkpoint","VIC-20 character tricks|Mega Drive sprite budgets","PAT-RUNLOOP-FRAME-001|PAT-LOGIC-MOVE-001",Computer-side contrast to NES metasprites.
P1,PAT-RENDER-RASTER-001,Raster IRQ splits and timed presentation,rendering,advanced,C64,"C64 PAL","source|build instructions|prg|d64","raster trace|IRQ breakpoints|screen split view","Atari 2600|NES split screens|SNES HDMA|Amiga Copper","PAT-RENDER-HWSPR-001",Essential to understanding commercial C64 polish.
P1,PAT-AUDIO-SID-001,SID channel budgeting and identity,audio,advanced,C64,"C64 PAL","source|build instructions|sid|prg|d64","per-voice mute|register view|audio export","Plus/4 TED audio|Amiga sample workflows","PAT-RUNLOOP-FRAME-001",Moves from simple SFX to machine-defining audio craft.
P1,PAT-STORAGE-DISK-001,C64 disk and tape startup flows,storage,shipping,C64,"C64 PAL","source|build instructions|prg|d64|tap","drive activity|load checkpoints","VIC-20|C128|Apple II","PAT-STORAGE-BOOT-001",Keeps media reality tied to the portable path.
P1,PAT-POLISH-TITLE-001,Title screen options and attract flow,polish,shipping,"C64|NES|Spectrum|Amiga","C64 PAL|NES/Famicom|48K|Amiga 500 OCS","source|build instructions|runnable artifact","state trace|screen capture presets","Game Boy|Mega Drive|SNES","PAT-LOGIC-STATE-001",Shared commercial polish pattern that can anchor many lessons.
P1,PAT-RENDER-BITPLANE-001,Bitplanes and display composition on Amiga,rendering,shipping,Amiga,"Amiga 500 OCS","source|build instructions|adf|snapshot","bitplane view|DMA trace|frame step","Atari ST comparison|Amiga ECS|AGA","PAT-RUNLOOP-FRAME-001",Introduces the machine as a larger display system rather than an 8-bit console analogue.
P1,PAT-RENDER-COPPER-001,Copper lists and timed display changes,rendering,advanced,Amiga,"Amiga 500 OCS","source|build instructions|adf|snapshot","Copper list view|beam trace","Amiga ECS|AGA|SNES HDMA","PAT-RENDER-BITPLANE-001",The key Amiga scheduling pattern for display-time polish.
P1,PAT-RENDER-BLITTER-001,Blitter-assisted composition and bandwidth budgeting,rendering,advanced,Amiga,"Amiga 500 OCS","source|build instructions|adf|snapshot","Blitter trace|memory bandwidth view","Amiga ECS|AGA","PAT-RENDER-BITPLANE-001",Connects visual ambition to real hardware limits.
P1,PAT-AUDIO-SAMPLE-001,Paula sample playback and tracker-era thinking,audio,advanced,Amiga,"Amiga 500 OCS","source|build instructions|mod|adf|snapshot","channel mute|sample view|audio export","Amiga ECS|AGA","PAT-RUNLOOP-FRAME-001",Adds 16-bit-era production expectations to the audio side.
