"milestone_id","milestone_name","order","ticket_id","owner","target_profile","subsystem","depends_on","title","done_when"
"M0","Shared support substrate","1","RT-001","shared_support","","identity","none","Machine profile registry","Family binaries and shared tooling can select a machine by MachineId and ModelId, and each selected profile declares clocks, firmware requirements, media slots, and default input layout."
"M0","Shared support substrate","2","RT-002","shared_support","","time","RT-001","Time contract","MachineTime, ClockDesc, and run_until(target_time) exist and one headless harness can drive a core without knowing its scheduler internals."
"M0","Shared support substrate","3","RT-003","shared_support","","media","RT-001","Media model","Cartridge, tape, floppy, and firmware images can be described uniformly as host-owned media objects without forcing a shared in-core media API."
"M0","Shared support substrate","4","RT-004","shared_support","","video","RT-002","Video sink","A core can emit completed frames, and beam or scanline machines have an optional lower-level event sink."
"M0","Shared support substrate","5","RT-005","shared_support","","audio","RT-002","Audio sink","Cores can emit timestamped audio packets into a shared host sink."
"M0","Shared support substrate","6","RT-006","shared_support","","input","RT-001","Input model","Host input can be sampled and mapped into machine-local input adapters without shared keyboard matrix or controller abstractions."
"M0","Shared support substrate","7","RT-007","shared_support","","state","RT-001;RT-002;RT-003","Snapshot contract","A core can serialize and restore a versioned snapshot blob under one shared envelope format."
"M0","Shared support substrate","8","RT-008","shared_support","","trace_and_validation","RT-002;RT-004;RT-005;RT-006","Trace and validation harness","Scripted input playback, framebuffer capture, audio capture, and timestamped trace events all exist in one reusable harness."
"M1","Tick-family bring-up","9","GB-001","gameboy_family","DMG-01","identity_and_media","RT-001;RT-003","DMG profile and media path","DMG-01 can boot from configured boot ROM policy and cartridge media in its family binary through the shared media-loading support."
"M1","Tick-family bring-up","10","GB-002","gameboy_family","DMG-01","cpu","GB-001;RT-002","SM83 and interrupt baseline","CPU fetch and execute, interrupts, and reset sequencing run under the shared support contract."
"M1","Tick-family bring-up","11","GB-003","gameboy_family","DMG-01","bus_and_io","GB-002","DMG memory, timer, joypad, serial stub","Baseline memory map, timer behavior, joypad reads, and a non-blocking serial placeholder exist."
"M1","Tick-family bring-up","12","GB-004","gameboy_family","DMG-01","video","GB-003;RT-004","PPU to frame sink","Visible frame output, VBlank signaling, and framebuffer capture work through the shared sink."
"M1","Tick-family bring-up","13","GB-005","gameboy_family","DMG-01","audio_and_validation","GB-003;RT-005;RT-008","APU and validation pass","Audio packets are emitted through the shared audio sink and the baseline validation set passes in the shared harness."
"M1","Tick-family bring-up","14","S8-001","sega_8bit_family","SG-1000","identity_and_media","RT-001;RT-003","SG-1000 profile and cartridge path","SG-1000 is pinned as the initial Sega 8-bit profile and cartridges load through the shared media-loading support."
"M1","Tick-family bring-up","15","S8-002","sega_8bit_family","SG-1000","cpu","S8-001;RT-002","Z80 integration and memory map","CPU execution, memory mapping, and interrupt entry run under the shared support contract."
"M1","Tick-family bring-up","16","S8-003","sega_8bit_family","SG-1000","video","S8-002;RT-004","VDP baseline","Tile and sprite display reaches the frame sink and a first screenshot-based regression set exists."
"M1","Tick-family bring-up","17","S8-004","sega_8bit_family","SG-1000","audio_and_input","S8-002;RT-005;RT-006","PSG, controllers, and pause path","Controller state and audio emission work through shared sinks without platform-local host hacks."
"M1","Tick-family bring-up","18","S8-005","sega_8bit_family","SG-1000","validation","S8-003;S8-004;RT-008","Validation and Master System delta backlog","SG-1000 baseline tests run in the shared harness and the Master System 1 delta is captured as explicit follow-up tickets."
"M2","Contention-family foundation","19","SP-001","spectrum_family","Spectrum 48K","identity_and_media","RT-001;RT-003","Spectrum 48K profile, ROM, and tape path","Spectrum 48K boots its ROM and can consume a basic tape image path through shared media plumbing."
"M2","Contention-family foundation","20","SP-002","spectrum_family","Spectrum 48K","cpu_and_bus","SP-001;RT-002","Z80 plus ULA contention","CPU execution observes ULA-visible contention rules rather than a pure unconstrained tick loop."
"M2","Contention-family foundation","21","SP-003","spectrum_family","Spectrum 48K","video_input_audio","SP-002;RT-004;RT-005;RT-006","Bitmap video, keyboard matrix, and beeper","Keyboard input, beeper output, and visible display all flow through the shared support interfaces."
"M2","Contention-family foundation","22","SP-004","spectrum_family","Spectrum 48K","media_timing_and_validation","SP-003;RT-008","Tape timing and validation","At least one deterministic tape-load validation case passes in the shared harness."
"M2","Contention-family foundation","23","SP-005","spectrum_family","Spectrum 128K","paging_and_audio","SP-004","Spectrum 128K extension","The 128K paging model and AY audio path exist as a second supported profile within the same family shell."
"M2","Contention-family foundation","24","NES-001","famicom_nes_family","NES front-loader NTSC","identity_and_media","RT-001;RT-003","Front-loader NTSC profile and mapper-limited cartridge path","An NTSC NES baseline profile loads NROM, UxROM, CNROM, and MMC1 media through one cartridge path."
"M2","Contention-family foundation","25","NES-002","famicom_nes_family","NES front-loader NTSC","cpu_and_bus","NES-001;RT-002","2A03 CPU, interrupts, and DMA foundation","CPU execution, interrupts, OAM DMA, and core bus timing run under the shared support contract."
