"system_id","decade","release_year","manufacturer","family","notable_members","bucket","scope","cpu_model","video_model","audio_model","media","notes"
"magnavox_odyssey","1970s","1972","Magnavox","Magnavox Odyssey","Odyssey","B","edge","Discrete logic","Analog/discrete video overlays","Discrete audio","Cartridges / switch cards","Pre-CPU console; treat as a custom beam-timed hardware project."
"odyssey_ttl_family","1970s","1975","Magnavox / Philips","Odyssey TTL family","Odyssey 100, 200, 300, 400, 500, 2000, 3000, 4000","B","optional","Discrete logic","TTL paddle / ball video","Simple beeper / discrete audio","Built-in games","Best treated as a family of related dedicated machines rather than one emulator core."
"atari_pong_family","1970s","1975","Atari / Sears","Home Pong family","Home Pong, Super Pong, Sears Tele-Games Pong","B","optional","Discrete logic","TTL paddle / ball video","Simple beeper / discrete audio","Built-in games","Very simple hardware but each board family differs enough to justify dedicated drivers."
"coleco_telstar_family","1970s","1976","Coleco","Coleco Telstar family","Telstar, Telstar Ranger, Telstar Combat, Telstar Alpha","B","optional","Discrete logic / AY-3-8500 class chips","Dedicated TV-game video","Simple PSG / discrete audio","Built-in games","Chip-family emulation is more useful than modeling each SKU from scratch."
"nintendo_color_tv_game_family","1970s","1977","Nintendo","Color TV-Game family","Color TV-Game 6, 15, Racing 112, Block Kuzushi, Computer TV Game","B","optional","Discrete logic / dedicated game chips","Dedicated TV-game video","Simple beeper / discrete audio","Built-in games","Still in the dedicated-console world; not a general-purpose machine architecture."
"fairchild_channel_f","1970s","1976","Fairchild","Channel F family","Channel F, Channel F System II","T","core","Fairchild F8","Simple frame-buffer / custom video","Simple tone generator","ROM cartridges","Good fit for a simple tick-driven console core."
"rca_studio_ii","1970s","1977","RCA","Studio II family","Studio II, TV School House II, Color Studio II","T","optional","RCA 1802","Simple monochrome custom video","Simple beeper","ROM cartridges","Straightforward early console with modest timing needs."
"bally_astrocade","1970s","1977","Bally / Midway","Astrocade family","Bally Professional Arcade, Bally Computer System, Astrocade","T","core","Z80","Custom frame-buffer video","Custom sound channels","ROM cartridges","Still simple enough for a tick core, but custom chips deserve explicit state."
"apf_mp1000","1970s","1978","APF","MP1000 / Imagination Machine","MP1000, Imagination Machine","T","optional","Motorola 6800","Simple console / computer video","Simple PSG","ROM cartridges, cassette, floppy","Console-to-computer expansion makes it useful to keep media and I/O modular."
"interton_vc4000_family","1970s","1978","Interton and clone vendors","VC 4000 family","Interton VC 4000, Voltmace Database, Acetronic MP-1000 variants","T","optional","Signetics 2650","Tile / sprite custom video","Simple tone channels","ROM cartridges","Large clone family; one shared core with board profiles is the right abstraction."
"apple_ii_family","1970s","1977","Apple","Apple II family","Apple II, II Plus, IIe, IIc","S","core","6502 / 65C02","Text + lores / hires with NTSC artifact color","Speaker click, Mockingboard-class expansions","Disk, cassette, cartridge","Artifact color and slot hardware make this more than a plain tick machine."
"commodore_pet_cbm_family","1970s","1977","Commodore","PET / CBM family","PET 2001, CBM 3000, 4000, 8000","S","core","6502","Character video via CRTC or integrated video logic","Simple beeper / expansion audio","Tape, disk","Business and educational variants diverge in I/O but share a strong family core."
"trs80_model_i_family","1970s","1977","Tandy / Radio Shack","TRS-80 Model I family","TRS-80 Model I, System 80, later close clones","S","core","Z80","Character video with contention-sensitive timing","Simple beeper","Cassette, floppy","Simple machine on paper, but video contention and peripheral timing matter."
