"wave","milestone_id","milestone_name","order","ticket_id","owner","target_scope","subsystem","depends_on","title","done_when"
"wave2","M7","Shared support variant and persistence expansion","1","W2-RT-001","shared_support","multi_family","identity","INT-003","Multi-profile family registry","One family can expose several concrete profiles with declarative capability flags instead of ad-hoc conditionals."
"wave2","M7","Shared support variant and persistence expansion","2","W2-RT-002","shared_support","suite_media","media","RT-003;INT-003","Persistent media and battery-backed storage","Cartridges, disks, and similar media can persist mutable state through one shared host path."
"wave2","M7","Shared support variant and persistence expansion","3","W2-RT-003","shared_support","suite_time","time","W2-RT-002","RTC and wall-clock service layer","Machine-local RTC devices consume a shared host time service without leaking host APIs into core logic."
"wave2","M7","Shared support variant and persistence expansion","4","W2-RT-004","shared_support","suite_media","media","W2-RT-001;W2-RT-002","Removable disk and tape host services","Late wave-2 families can mount, swap, and persist removable media through shared support plumbing."
"wave2","M8","Wave-1 family expansions A","5","W2-GB-001","gameboy_family","CGB and common MBCs","family_expansion","W2-RT-001;W2-RT-002;GB-005","Game Boy Color and common MBC matrix","CGB and the common save-backed MBC families are supported under one shared Game Boy family shell."
"wave2","M8","Wave-1 family expansions A","6","W2-GB-002","gameboy_family","late Game Boy family","validation","W2-GB-001;W2-RT-003","Game Boy link and late-family validation","The Game Boy family has a defined link/session story and a stronger multi-profile regression set."
"wave2","M8","Wave-1 family expansions A","7","W2-S8-001","sega_8bit_family","Master System 1","family_expansion","W2-RT-001;S8-005","Master System 1 baseline","Master System 1 is supported as a first-class profile, not an implied SG-1000 variant."
"wave2","M8","Wave-1 family expansions A","8","W2-S8-002","sega_8bit_family","Game Gear and FM variants","family_expansion","W2-S8-001","Game Gear and FM/audio family variants","Game Gear and the main FM/audio deltas are modeled within the Sega 8-bit family shell."
"wave2","M8","Wave-1 family expansions A","9","W2-SP-001","spectrum_family","late Spectrum family","family_expansion","SP-005;W2-RT-001","Spectrum late-family paging and AY path","128K and later paging/audio behavior are stabilized as multi-profile support rather than one-off hacks."
"wave2","M8","Wave-1 family expansions A","10","W2-SP-002","spectrum_family","Spectrum +3","media_and_validation","W2-SP-001;W2-RT-004","Spectrum +3 disk path and variant validation","Plus-3-class disk-backed variants are supported with shared removable-media plumbing."
"wave2","M8","Wave-1 family expansions A","11","W2-NES-001","famicom_nes_family","MMC3 tier","family_expansion","NES-005","MMC3 and scanline IRQ path","The suite supports a post-wave-1 mapper tier without inventing a generic mapper abstraction for all systems."
"wave2","M8","Wave-1 family expansions A","12","W2-NES-002","famicom_nes_family","FDS and PAL/NTSC split","family_expansion","W2-NES-001;W2-RT-004","FDS, expansion audio, and profile split","FDS, expansion audio, and explicit NTSC/PAL profile handling exist within the NES family."
"wave2","M9","Wave-1 family expansions B","13","W2-C64-001","commodore_64_128_family","C128","family_expansion","C64-005;W2-RT-001","C128 baseline profile and VDC path","C128 is represented as a profile inside the Commodore 64/128 family rather than a separate ad-hoc machine."
"wave2","M9","Wave-1 family expansions B","14","W2-C64-002","commodore_64_128_family","IEC and 1541","media_and_validation","W2-C64-001;W2-RT-004","IEC/1541 pragmatic disk workflow","One practical and regression-friendly IEC/1541 path exists for the Commodore family."
"wave2","M9","Wave-1 family expansions B","15","W2-PCE-001","pc_engine_family","CD-ROM2","family_expansion","PCE-005;W2-RT-004","CD-ROM2 path","The PC Engine family supports CD-ROM2 media and timing without pulling in unrelated CD frameworks."
"wave2","M9","Wave-1 family expansions B","16","W2-PCE-002","pc_engine_family","SuperGrafx","family_expansion","W2-PCE-001;W2-RT-001","SuperGrafx and family variant matrix","SuperGrafx and other major profile deltas are modeled cleanly inside the family shell."
"wave2","M9","Wave-1 family expansions B","17","W2-AMI-001","amiga_ocs_ecs_family","ECS, A500+, A600","family_expansion","AMI-006;W2-RT-001","ECS profiles and chipset deltas","ECS, A500+, and A600-class profiles exist with explicit chipset and platform deltas."
"wave2","M9","Wave-1 family expansions B","18","W2-AMI-002","amiga_ocs_ecs_family","late OCS/ECS workflow","media_and_validation","W2-AMI-001;W2-RT-004","Workbench/floppy hardening","The Amiga family has a more durable floppy/workbench boot workflow suitable for later waves."
"wave2","M10","Adjacent handheld cluster","19","W2-WS-001","wonderswan_family","WonderSwan family","family_baseline","W2-RT-001;RT-008","WonderSwan family baseline","WonderSwan, WonderSwan Color, and SwanCrystal have a coherent family shell and one validated baseline profile."
"wave2","M10","Adjacent handheld cluster","20","W2-NGP-001","neo_geo_pocket_family","Neo Geo Pocket family","family_baseline","W2-RT-001;RT-008","Neo Geo Pocket family baseline","The Neo Geo Pocket family has one validated baseline profile and a clear family-variant model."
"wave2","M10","Adjacent handheld cluster","21","W2-LYN-001","lynx_family","Lynx family","family_baseline","W2-RT-001;RT-008","Atari Lynx family baseline","The Lynx family is onboarded as a hybrid handheld without destabilizing the simpler handheld abstractions."
"wave2","M10","Adjacent handheld cluster","22","W2-GBA-001","gba_family","GBA family","family_baseline","W2-RT-001;RT-008","Game Boy Advance family baseline","The GBA family is onboarded as the first ARM-era handheld within the non-D roadmap."
"wave2","M11","Wave-2 hardening","23","W2-INT-001","integration","wave2 families","host_integration","W2-RT-004;W2-GBA-001","Shared tooling conventions and persistence matrix","Completed family binaries share startup conventions, profile selection behavior, and persistent-media handling across the expanded families."
