registry_id,technique_area,pattern_ids,claim_type,title,family,platform_or_profile,release_year,region,confidence,evidence_status,why_it_matters,notes
HEX-001,attribute-aware platform presentation,"PAT-RENDER-SWSPR-001|PAT-RENDER-ATTR-001",canonical_teaching_exemplar,Manic Miner,Spectrum,"48K",1983,UK,likely,seeded,Clear anchor for color-clash-aware platform presentation and commercial readability,Needs sourcing for how explicitly it shaped later imitators.
HEX-002,attribute-aware platform presentation,"PAT-RENDER-SWSPR-001|PAT-RENDER-ATTR-001",follow_up_deepening_exemplar,Jet Set Willy,Spectrum,"48K",1984,UK,likely,seeded,Useful follow-up for room-scale redraw and readable attribute compromise,Teaching value is stronger than any earliest-use claim.
HEX-003,software room and screen composition,PAT-RENDER-SWSPR-001,breakthrough_popularization,Knight Lore,Spectrum,"48K",1984,UK,likely,seeded,Strong candidate for the mainstream breakthrough of isometric room rendering on Spectrum-class machines,Needs careful wording because several earlier experiments may compete for earliest-use claims.
HEX-004,software room and screen composition,PAT-RENDER-SWSPR-001,canonical_teaching_exemplar,Fairlight,Spectrum,"48K",1985,UK,hypothesis,seeded,Good teaching anchor for room composition and redraw strategy,Needs confirmation against other strong candidates like Alien 8.
HEX-005,beeper-first commercial audio,PAT-AUDIO-BEEPER-001,canonical_teaching_exemplar,Jetpac,Spectrum,"48K",1983,UK,hypothesis,seeded,Reasonable early anchor for beeper-era action identity,May not be the best eventual teaching exemplar once research deepens.
HEX-006,128K banked content and AY-era expansion,PAT-DATA-BANK-001,follow_up_deepening_exemplar,Robocop 2,Spectrum,"128K",1990,EU,hypothesis,seeded,Represents the larger-content late commercial Spectrum environment,Probably not the final canonical choice.
HEX-007,NMI-driven platform scrolling and feel,"PAT-RUNLOOP-NMI-001|PAT-RENDER-SCROLL-001",breakthrough_popularization,Super Mario Bros.,NES,"NES/Famicom",1985,JP,well_supported,seeded,Obvious mainstream anchor for console-side scrolling and controller feel,Still not necessarily earliest-use for every underlying trick.
HEX-008,NMI-driven platform scrolling and feel,"PAT-RUNLOOP-NMI-001|PAT-RENDER-SCROLL-001",canonical_teaching_exemplar,Super Mario Bros. 3,NES,"NES/Famicom",1988,JP,well_supported,seeded,Excellent teaching anchor for advanced scrolling and commercial polish,Public-facing choice can be teaching-driven rather than earliest-driven.
HEX-009,metasprites and animation,PAT-RENDER-METASPR-001,canonical_teaching_exemplar,Mega Man 2,NES,"NES/Famicom",1988,JP,likely,seeded,Strong sprite-animation teaching anchor with clear commercial readability,Needs comparison against Contra and Castlevania depending on lesson angle.
HEX-010,persistent world structure and battery save,PAT-PERSIST-SAVE-001,breakthrough_popularization,The Legend of Zelda,NES,"Famicom Disk System",1986,JP,well_supported,seeded,Strong anchor for persistence as a commercial gameplay expectation,Separate cartridge save claims should remain distinct.
